CGTN英语,rtp://239.3.1.215:4220
CGTN纪录,rtp://239.3.1.216:4220
兵团卫视,rtp://239.3.1.168:8196
北京文艺,rtp://239.3.1.242:8000
体育休闲,rtp://239.3.1.120:8000
北京影视,rtp://239.3.1.158:8000
北京新闻,rtp://239.3.1.159:8000
北京财经,rtp://239.3.1.116:8000
北京生活,rtp://239.3.1.117:8000
北京国际,rtp://239.3.1.235:8000
纪实科教,rtp://239.3.1.115:8000
卡酷少儿,rtp://239.3.1.189:8000
金鹰纪实,rtp://239.3.1.58:8156
茶友频道,rtp://239.3.1.165:8001
快乐垂钓,rtp://239.3.1.164:8001
Ando TV,http://play.kankanlive.com/live/1711956137852982.m3u8
CCTV-4K,rtp://239.3.1.245:2000
Animation Show Channel,http://180.213.174.225:9901/tsfile/live/1034_1.m3u8?authid=0&key=txiptv&playlive=1
中国教育,rtp://239.3.1.57:8152
Anshun Comprehensive News Channel,https://hplayer1.juyun.tv/camera/154379194.m3u8
Beijing Traffic Radio TV [Geo-blocked],http://123.56.24.28:1935/live/fm1039/96K/tzwj_video.m3u8
Beijing Youth Radio [Geo-blocked],http://audiolive.rbc.cn:1935/live/am927/96K/tzwj_video.m3u8
Bingtuan Satellite TV,http://49.113.179.174:4022/udp/238.125.4.13:5140
Bread TV面包台 (720p),https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
ABN China (720p),https://mediaserver.abnvideos.com/streams/abnchina.m3u8
中国交通,rtp://239.3.1.188:8001
睛彩竞技,rtp://239.3.1.125:8001
睛彩篮球,rtp://239.3.1.126:8001
BRTV Kaku Childrens Channel,http://49.113.179.174:4022/udp/238.125.2.216:5140
BRTV Kaku Childrens Channel,http://223.72.123.28:85/tsfile/live/1026_1.m3u8?authid=0&key=txiptv&playlive=1
睛彩青少,rtp://239.3.1.127:8001
睛彩广场舞,rtp://239.3.1.128:8001
爱上4K,rtp://239.3.1.236:2000
4K超清,rtp://239.3.1.249:8001
Ando TV,http://play.kankanlive.com/live/1711956137852982.m3u8
